Natural Language Question,Returned SQL,Feedback,Program Ran,Columns,database_name,other
How many different ship names are there?,"SELECT COUNT(DISTINCT ShipName) AS DifferentShipNames
FROM Orders;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
How many different ship names are there?,"SELECT COUNT(DISTINCT ShipName) AS DifferentShipNames
FROM Orders;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
How many different ship names are there?,"SELECT COUNT(DISTINCT ShipName) AS DifferentShipNames
FROM Orders;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
How many orders were placed in 2016?,"SELECT COUNT(OrderID)
FROM Orders
WHERE OrderDate >= '2016-01-01' AND OrderDate < '2017-01-01';",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
How many different ship names are there?,"SELECT COUNT(DISTINCT ShipName) AS DifferentShipNames
FROM Orders;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
What is the total freight  weight for all orders shipped to France?,"SELECT SUM(Freight) AS TotalFreightWeight
FROM Orders
WHERE ShipCountry = 'France';",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
Which customer placed the most orders?,"SELECT CustomerID, COUNT(OrderID) AS TotalOrders
FROM Orders
GROUP BY CustomerID
ORDER BY TotalOrders DESC
LIMIT 1;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
How many orders were shipped via each shipping method?,"SELECT ShipVia, COUNT(OrderID) AS ShippedOrders
FROM Orders
GROUP BY ShipVia;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
What is the average freight weight for orders shipped to the United States?,"SELECT AVG(Freight) 
FROM Orders
WHERE ShipCountry = 'United States';",Negative,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
List all orders placed by customer LEHMS,"SELECT * 
FROM Orders
WHERE CustomerID = 'LEHMS';",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
How many orders were shipped within the expected shipping date?,"SELECT COUNT(*) 
FROM Orders
WHERE ShippedDate <= RequiredDate;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
What percent of orders were shipped within the expected shipping date?,"SELECT 
    (COUNT(CASE WHEN ShippedDate <= RequiredDate THEN OrderID END) * 100.0) / COUNT(OrderID) AS PercentShippedOnTime
FROM 
    Orders;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
What is the total number of orders shipped to each city?,"SELECT ShipCity, COUNT(OrderID) AS TotalOrdersShipped
FROM Orders
GROUP BY ShipCity;",Positive,TRUE,,"






Northwest Traders database from Microsoft 2016","OrderID: 10248
CustomerID: VINET
EmployeeID: 5
OrderDate: 2016-07-04
RequiredDate: 2016-08-01
ShippedDate: 2016-07-16
ShipVia: 3
Freight: 16.75
ShipName: Vins et alcools Chevalier
ShipAddress: 59 rue de l-Abbaye
ShipCity: Reims
ShipRegion: Western Europe
ShipPostalCode: 51100
ShipCountry: France"
